dish,prompt,generation
7 day coleslaw  lite eating,Generate a diabetes-friendly 7 day coleslaw  lite eating recipe.,Coleslaw is one of my favorite side dishes. It's a great way to add a healthy dose of fiber and vitamin C to your diet. It's also a great way to cut down on your sugar intake. It's also a great way to add a healthy dose of fiber and vitamin C to your diet. It's also a great way to cut down on your sugar intake. It's also a great way to add a healthy dose of fiber and vitamin C to your diet. It's also a great way to cut down on your sugar intake. It's also a great way to add a healthy dose of fiber and vitamin C to your diet. It's also a great way to add a healthy dose of fiber and vitamin C to your diet. It's also a great way to add a healthy dose of fiber and vitamin C to your diet. It's also a great way to add a healthy dose of fiber and vitamin C to your diet. It's also a great way to add a healthy dose of fiber and vitamin C to your diet. It's also a great way to add a healthy dose
inspired vegetable stew,Generate a diabetes-friendly inspired vegetable stew recipe.,"To make a diabetic-friendly vegetable stew, add the following ingredients to a large pot. Bring to a boil, then reduce the heat to low and simmer until the vegetables are tender, about 30 minutes."
spicy hot crackers,Generate a diabetes-friendly spicy hot crackers recipe.,"To make spicy hot crackers, combine 1 cup shredded cheddar cheese, 1 tablespoon melted butter, 1 teaspoon kosher salt, and 1 teaspoon paprika in a large bowl. Spread the cheese mixture evenly over the crackers. Bake the crackers in a 375 degree F oven for 10 to 15 minutes, or until the cheese is melted and the crackers are golden brown."
creamed swiss chard with mushroom and feta,Generate a diabetes-friendly creamed swiss chard with mushroom and feta recipe.,"Cream the swiss chard with the mushroom and feta in a medium bowl. Add the olive oil, lemon juice, salt and pepper to taste."
spanish chickpea soup,Generate a diabetes-friendly spanish chickpea soup recipe.,"Toss the chickpeas in a large soup pot with enough water to cover the chickpeas. Bring the soup to a boil, then reduce the heat to low and simmer until the chickpeas are tender, about 30 minutes. Serve with sour cream and guacamole."
mushroom barley soup  ww,Generate a diabetes-friendly mushroom barley soup  ww recipe.,"Toss 1/2 cup chopped mushrooms, 1/2 cup chopped onions, 1/2 cup chopped garlic, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme, 1/2 cup chopped parsley, 1/2 cup chopped thyme,"
lemon chicken burgers with yogurt dressing,Generate a diabetes-friendly lemon chicken burgers with yogurt dressing recipe.,Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers With Yogurt Dressing Recipe. Lemon Chicken Burgers
barbie s tuna sandwich,Generate a diabetes-friendly barbie s tuna sandwich recipe.,Toss tuna with arugula and arugula salad. Top with arugula and arugula salad. Top with arugula and arugula salad. Top with arugula and arugula salad. Top with arugula and arugula salad. Top with arugula and arugula salad. Top with arugula and arugula salad. Top with arugula and arugula salad. Top with arugula and arugula salad. Top with arugula and arugula salad. Top with arugula and arugula salad. Top with arugula and arugula salad. Top with arugula and arugula salad. Top with arugula and arugula salad. Top with arugula and arugula salad. Top with arugula and arugula salad. Top with arugula and arugul
spicy smoky soulful lentil soup,Generate a diabetes-friendly spicy smoky soulful lentil soup recipe.,"Toss the lentils in a large pot with enough water to cover the lentils. Bring the water to a boil, then reduce the heat to medium and simmer until the lentils are tender, about 30 minutes. Remove the lentils from the heat and add the remaining ingredients. Bring to a boil, then reduce the heat to medium and simmer until the lentils are tender, about 30 minutes."
horseradish encrusted salmon,Generate a diabetes-friendly horseradish encrusted salmon recipe.,"Toss the salmon with the horseradish, salt, and pepper. Place the salmon on a baking sheet lined with foil. Bake the salmon until it reaches an internal temperature of 145 °F (63 °C) and a thermometer reaches 165 °F (77 °C) for an internal temperature of 145 °F (63 °C)"
mexican style pork   rice soup,Generate a diabetes-friendly mexican style pork   rice soup recipe.,"Toss 1 chopped pork shoulder with 1 chopped onion, 1 chopped garlic clove, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper, 1 chopped green bell pepper"
ropa vieja   tasty cuban dish,Generate a diabetes-friendly ropa vieja   tasty cuban dish recipe.,"To make a diabetic-friendly ropa vieja, you can use a rotisserie chicken or a rotisserie pork roast."
pot roast carne asada style,Generate a diabetes-friendly pot roast carne asada style recipe.,Preheat the oven to 450 degrees F (232 degrees C) and grease a roasting pan with cooking spray. Place the roast in the roasting pan and season with salt and pepper. Place the roast in the oven and cook for 1 hour. Remove the roast from the oven and allow it to rest for 10 minutes before serving.
warm salmon salad a la provencal,Generate a diabetes-friendly warm salmon salad a la provencal recipe.,"Warm salmon in a skillet over medium-high heat. Season with salt and pepper. Add arugula, scallions, and arugula mixture to the skillet. Cook, tossing occasionally, until wilted and wilted, about 5 minutes. Add arugula mixture to the skillet. Cook, tossing occasionally, until wilted and wilted, about 5 minutes. Add arugula mixture to the skillet. Cook, tossing occasionally, until wilted and wilted, about 5 minutes. Add arugula mixture to the skillet. Cook, tossing occasionally, until wilted and wilted, about 5 minutes. Add arugula mixture to the skillet. Cook, tossing occasionally, until wilted and wilted, about 5 minutes. Add arugula mixture to the skillet. Cook, tossing occasionally, until wilted and wilted, about 5 minutes. Add arugula mixture to the skillet. Cook, tossing occasionally, until w"
onion cups,Generate a diabetes-friendly onion cups recipe.,Cut an onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise. Cut the onion in half lengthwise.
easy hummus,Generate a diabetes-friendly easy hummus recipe.,Spread hummus on a piece of pita bread. Top with tzatziki sauce.
stuffed grape leaves  dolmades,Generate a diabetes-friendly stuffed grape leaves  dolmades recipe.,"To make stuffed grape leaves dolmades, place the grape leaves in a microwave-safe bowl and microwave for 30 seconds. Then, in a small bowl, mix together the cornstarch, water, sugar, and salt. Add the cornstarch mixture to the cornstarch mixture and stir until the cornstarch is completely dissolved. Pour the cornstarch mixture into the grape leaves and stir until the cornstarch is completely dissolved. Cover the bowl with plastic wrap and microwave for 30 seconds. Remove the plastic wrap and place the grape leaves in a microwave-safe bowl and microwave for 30 seconds. Remove the plastic wrap and place the grape leaves in a microwave-safe bowl and microwave for 30 seconds. Remove the plastic wrap and place the grape leaves in a microwave-safe bowl and microwave for 30 seconds. Remove the plastic wrap and place the grape leaves in a microwave-safe bowl and microwave for 30 seconds. Remove the plastic wrap and place the grape leaves in a microwave-safe bowl and microwave for 30 seconds. Remove the plastic wrap and place the grape leaves in a microwave-safe bowl and microwave for 30 seconds. Remove the plastic wrap and place the grape leaves in a microwave-safe"
shrimp with chipotle sauce,Generate a diabetes-friendly shrimp with chipotle sauce recipe.,Toss shrimp with chipotle sauce in a large bowl. Season with salt and pepper.
chive risotto cakes    ina garten barefoot contessa,Generate a diabetes-friendly chive risotto cakes    ina garten barefoot contessa recipe.,Chive risotto cakes ina garten barefoot contessa is a diabetic-friendly recipe.
cantaloupe spinach salad,Generate a diabetes-friendly cantaloupe spinach salad recipe.,Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the cantaloupe in half lengthwise. Cut the can
barley casserole,Generate a diabetes-friendly barley casserole recipe.,This barley casserole is a great recipe for diabetics because it's low in carbs and high in fiber. It's also low in fat and high in protein.
mascarpone stuffed chicken,Generate a diabetes-friendly mascarpone stuffed chicken recipe.,"Melt the butter in a large skillet over medium-high heat. Add the mascarpone cheese and cook, whisking constantly, until the cheese is melted and the mixture is smooth. Add the chicken and cook, whisking constantly, until the chicken is no longer pink in the middle, about 20 minutes. Remove the chicken from the skillet and place it on a serving platter."
mom s best ever turkey meatloaf,Generate a diabetes-friendly mom s best ever turkey meatloaf recipe.,This turkey meatloaf is a diabetic-friendly mom 's best ever recipe.
deluxe fried eggs,Generate a diabetes-friendly deluxe fried eggs recipe.,"To make deluxe fried eggs, heat oil in a skillet over medium-high heat. Add eggs and cook until golden brown, about 3 minutes. Remove from heat. Serve with ketchup and sour cream."
pan seared scallops with cauliflower and balsamic syrup,Generate a diabetes-friendly pan seared scallops with cauliflower and balsamic syrup recipe.,Pan seared scallops with cauliflower and balsamic syrup
parmesan white bean dip,Generate a diabetes-friendly parmesan white bean dip recipe.,Toss 1/2 cup cooked white beans with 1/2 cup parmesan cheese in a large bowl. Season with salt and pepper. Serve with tortilla chips.
mango pineapple chicken with mandarin rice salad,Generate a diabetes-friendly mango pineapple chicken with mandarin rice salad recipe.,Toss mango pineapple chicken with mandarin rice.
grilled turkey burgers with couscous,Generate a diabetes-friendly grilled turkey burgers with couscous recipe.,Grilled turkey burgers with couscous is a diabetic-friendly grilled turkey burgers with couscous recipe. Grilled turkey burgers with couscous is a diabetic-friendly grilled turkey burgers with couscous recipe. Grilled turkey burgers with couscous is a diabetic-friendly grilled turkey burgers with couscous recipe. Grilled turkey burgers with couscous is a diabetic-friendly grilled turkey burgers with couscous recipe. Grilled turkey burgers with couscous is a diabetic-friendly grilled turkey burgers with couscous recipe. Grilled turkey burgers with couscous is a diabetic-friendly grilled turkey burgers with couscous recipe. Grilled turkey burgers with couscous is a diabetic-friendly grilled turkey burgers with couscous recipe. Grilled turkey burgers with couscous is a diabetic
shrimp linguine,Generate a diabetes-friendly shrimp linguine recipe.,"Toss 2 cups shrimp with 2 tablespoons butter, 2 tablespoons olive oil, and 2 tablespoons lemon juice in a large bowl. Season with salt and pepper to taste. Heat 2 tablespoons olive oil in a large skillet over medium-high heat. Add 2 tablespoons butter and 2 tablespoons olive oil to the skillet and cook, stirring, until the butter is melted. Add the shrimp and cook, tossing occasionally, until the shrimp are cooked through and the butter is melted. Remove the shrimp from the skillet and set aside. In a large bowl, whisk together 2 tablespoons butter, 2 tablespoons olive oil, and 2 tablespoons lemon juice in a large bowl. Add the shrimp and cook, tossing occasionally, until the shrimp are cooked through and the butter is melted. Add the shrimp and cook, tossing occasionally, until the shrimp are cooked through and the butter is melted. Add the shrimp and cook, tossing occasionally, until the shrimp are cooked through and the butter is melted. Add the shrimp and cook, tossing occasionally, until the shrimp are cooked through and the butter is melted. Add the shrimp and cook, toss"
roasted red onion panzanella,Generate a diabetes-friendly roasted red onion panzanella recipe.,"Preheat oven to 450 degrees F. Place red onion in a large bowl. Drizzle with olive oil and season with salt and pepper. Toss with arugula, olives, feta cheese, shaved Parmesan and pomegranate seeds. Drizzle with balsamic vinegar."
balsamic marinated tomato and mozzarella salad,Generate a diabetes-friendly balsamic marinated tomato and mozzarella salad recipe.,"Toss tomatoes, mozzarella, and balsamic vinegar in a large bowl. Season with salt and pepper. Toss with olive oil and balsamic vinaigrette."
parsnips with sage butter,Generate a diabetes-friendly parsnips with sage butter recipe.,Toss parsnips with sage butter in a large bowl. Season with salt and pepper.
best spinach recipe,Generate a diabetes-friendly best spinach recipe recipe.,"Toss the spinach with a little olive oil, salt, and pepper. Bake in a 350 degree oven for 20 minutes."
easy chicago style spinach pizza,Generate a diabetes-friendly easy chicago style spinach pizza recipe.,This is a great recipe for diabetics because it's so easy to make and it's so filling. It's also a great recipe for those of you who are lactose intolerant. It's also a great recipe for those of you who aren't lactose intolerant. It's also a great recipe for those of you who aren't lactose intolerant. It's also a great recipe for those of you who aren't lactose intolerant. It's also a great recipe for those of you who are lactose intolerant. It's also a great recipe for those of you who are lactose intolerant. It's also a great recipe for those of you who are lactose intolerant. It's also a great recipe for those of you who are lactose intolerant. It's also a great recipe for those of you who are lactose intolerant. It's also a great recipe for those of you who are lactose intolerant. It's also a great recipe for those of
garlic spiked broccoli and mushrooms with rosemary,Generate a diabetes-friendly garlic spiked broccoli and mushrooms with rosemary recipe.,"Toss the broccoli, mushrooms and rosemary in a large bowl. Season with salt and pepper to taste. Bake in the oven at 400°F for 20 minutes."
rich barley mushroom soup,Generate a diabetes-friendly rich barley mushroom soup recipe.,This is a rich barley mushroom soup that can be made diabetic-friendly.
crock pot chicken vindaloo,Generate a diabetes-friendly crock pot chicken vindaloo recipe.,Crock-Pot Chicken Vindaloo is a diabetic-friendly crock-pot chicken vindaloo recipe.
penne with salmon and roasted vegetables,Generate a diabetes-friendly penne with salmon and roasted vegetables recipe.,"Preheat the oven to 450 degrees F. In a large skillet, heat the olive oil over medium-high heat. Add the salmon and cook, turning occasionally, until the fish flakes easily with a fork, 3 to 4 minutes. Add the garlic and cook, stirring, until the garlic is fragrant, 1 to 2 minutes. Add the roasted vegetables and cook, tossing, until the vegetables are lightly browned, 3 to 4 minutes. Season with salt and pepper. Serve the penne with the salmon and vegetables."
lentil mushroom walnut loaf,Generate a diabetes-friendly lentil mushroom walnut loaf recipe.,"Toss the lentils, mushrooms and walnuts in a large bowl. Pour the olive oil into a large bowl. Add the flour, baking powder, baking soda and salt. Mix well. Pour the mixture into a large loaf pan. Bake in the oven at 350° for 45 minutes. Let the loaf cool in the pan for 10 minutes before slicing."
parmigiano regianno with fruit and aged balsamic,Generate a diabetes-friendly parmigiano regianno with fruit and aged balsamic recipe.,"Preheat the oven to 450 degrees F (232 degrees C). Line a baking sheet with parchment paper. In a large bowl, combine the parmigiano regianno with the fruit and aged balsamic vinegar. Pour the mixture into the baking sheet and bake for 30 minutes. Remove the baking sheet from the oven and allow the mixture to cool."
